id,price,picture,city,MLS_Num,address,latitude,longitude,Bed,Bath,CarSpace,createdAt,updatedAt
1,10995000,http://makcenter.org/wp-content/uploads/2013/10/F5CS9273.jpg,Aspen Woods,C4021040,6 ASPEN RIDGE LN SW,51.045681,-114.191544,5.0,7.2,5.0,,
2,1995000,https://www.thehouseplanshop.com/userfiles/photos/large/16216238714a5f64b03baa6.JPG,None,C4061853,2727 92 ST SE,51.030144,-113.900562,4.0,2.0,4.0,,
3,369900,https://www.renoassistance.ca/wp-content/uploads/2017/06/House-siding.jpg,Taradale,C4101645,78 TARACOVE WY NE,51.119402,-113.935084,3.0,0.0,3.0,,
4,1028000,https://www.texasmonthly.com/wp-content/uploads/2017/04/House-Houston.jpg,Richmond,C4103673,2128 27 AV SW,51.029555,-114.110223,4.0,3.2,4.0,,
5,1879000,https://images.adsttc.com/media/images/59a4/c624/b22e/389d/3e00/02a3/newsletter/MHA.JR_201708_038.jpg?1503970808,Currie Barracks,C4105514,14 VALOUR CI SW,51.017867,-114.133557,3.0,3.1,3.0,,
6,1475000,https://photos.zillowstatic.com/p_e/ISa95r26pca9880000000000.jpg,Springbank Hill,C4105536,184 FORTRESS BA SW,51.022242,-114.210591,3.0,2.1,3.0,,
7,519900,https://photos.zillowstatic.com/p_e/ISa95r26pca9880000000000.jpg,Glamorgan,C4107144,4511 37 ST SW,51.015633,-114.141545,4.0,2.0,4.0,,
8,520000,https://vancouver.ca/images/cov/feature/passive-house-evening-landing.png,Douglasdale/Glen,C4107570,3755 DOUGLAS RIDGE LI SE,50.934964,-113.978372,5.0,3.1,5.0,,
9,1050000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNTjhdq5Yz37ycPhPjOGAKGEjEjE51tp41Y1SkzzFd7kr9SVBsKA,South Calgary,C4111061,2034 32 AV SW,51.025018,-114.108891,4.0,3.2,4.0,,
10,419000,https://images.adsttc.com/media/images/59a4/c624/b22e/389d/3e00/02a3/newsletter/MHA.JR_201708_038.jpg?1503970808,Coventry Hills,C4117539,139 Coverdale CO NE,51.161841,-114.047193,4.0,3.0,4.0,,
11,2599000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBYNhfXw5WrG9IC6iSN3GlAUK0YDK5UIC4JTKmHJ2x1cPttFVq,Upper Mount Royal,C4121458,1131 DORCHESTER AV SW,51.030238,-114.087807,4.0,4.1,4.0,,
12,749900,https://www.regatta.ro/images/400x400/media/casa-de-vanzare-4-camere-zona-pipera-aviatiei-bucuresti-145-mp-rgt32220-1.jpg,Harvest Hills,C4125306,67 HARVEST HILLS DR NE,51.150882,-114.051801,5.0,3.0,5.0,,
13,1400000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR8GQ5i43IPNQOaDo7Gat6k13SVla7wyAkTQDmP4qb66lkIr67_Q,Springbank Hill,C4125818,3257 81 ST SW,51.024493,-114.2052,5.0,3.1,5.0,,
14,3999999,https://bossip.files.wordpress.com/2016/08/orlando-scandrick-house-2.png,Elboya,C4126323,507 RIVERDALE AV SW,51.016783,-114.075196,5.0,4.1,5.0,,
15,530000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBYNhfXw5WrG9IC6iSN3GlAUK0YDK5UIC4JTKmHJ2x1cPttFVq,Livingston,C4129431,190 HOWSE RI NE,51.196413,-114.051075,3.0,2.1,3.0,,
16,749900,https://vancouver.ca/images/cov/feature/passive-house-evening-landing.png,Altadore,C4130285,4403 16 ST SW,51.015045,-114.100491,4.0,3.1,4.0,,
17,474900,https://static.dezeen.com/uploads/2018/07/aspire-house-process-architecture-housing-usa_dezeen_2364_hero-852x479.jpg,Shawnessy,C4131724,323 SHAWBROOKE CI SW,50.904869,-114.091438,3.0,2.1,3.0,,
18,1085000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR8GQ5i43IPNQOaDo7Gat6k13SVla7wyAkTQDmP4qb66lkIr67_Q,Rocky Ridge,C4131935,14 ROCKCLIFF LD NW,51.148183,-114.244842,4.0,2.1,4.0,,
19,319900,http://makcenter.org/wp-content/uploads/2013/10/F5CS9273.jpg,Falconridge,C4134174,48 FALCHURCH CR NE,51.10074,-113.946262,3.0,2.0,3.0,,
